2025-07-02 14:49:44.534189	https://www.encodeproject.org/report/?type=File&searchTerm=encode-re2g+thresholded&output_type=thresholded+element+gene+links&status%21=archived&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF351UTH/	ENCFF351UTH	ENCFF351UTH	/annotations/ENCSR541LLX/	GRCh38			bed	bed bed3+	bed3+	3517022	DNase-seq	thyroid gland	thyroid gland,endocrine gland				/files/ENCFF351UTH/@@download/ENCFF351UTH.bed.gz	/files/ENCFF965XJH/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:40:11.524818+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF228VCT/	ENCFF228VCT	ENCFF228VCT	/annotations/ENCSR028BAB/	GRCh38			bed	bed bed3+	bed3+	3539894	DNase-seq	HL-60	blood,bodily fluid				/files/ENCFF228VCT/@@download/ENCFF228VCT.bed.gz	/files/ENCFF337QFU/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:01:38.839649+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF848WVS/	ENCFF848WVS	ENCFF848WVS	/annotations/ENCSR155PMI/	GRCh38			bed	bed bed3+	bed3+	3877797	DNase-seq	right cardiac atrium	heart				/files/ENCFF848WVS/@@download/ENCFF848WVS.bed.gz	/files/ENCFF636KKX/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:41:25.615048+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF111DGA/	ENCFF111DGA	ENCFF111DGA	/annotations/ENCSR394DCW/	GRCh38			bed	bed bed3+	bed3+	3421462	DNase-seq	mesenchymal stem cell	connective tissue				/files/ENCFF111DGA/@@download/ENCFF111DGA.bed.gz	/files/ENCFF432DAR/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:25:44.991487+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF654QFJ/	ENCFF654QFJ	ENCFF654QFJ	/annotations/ENCSR240USV/	GRCh38			bed	bed bed3+	bed3+	3816559	DNase-seq	heart right ventricle	heart				/files/ENCFF654QFJ/@@download/ENCFF654QFJ.bed.gz	/files/ENCFF450SVV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:41:58.864975+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF397QQQ/	ENCFF397QQQ	ENCFF397QQQ	/annotations/ENCSR264JNJ/	GRCh38			bed	bed bed3+	bed3+	3406753	DNase-seq	myocyte	musculature of body				/files/ENCFF397QQQ/@@download/ENCFF397QQQ.bed.gz	/files/ENCFF429ORG/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:26:17.630706+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF598UOC/	ENCFF598UOC	ENCFF598UOC	/annotations/ENCSR357UZR/	GRCh38			bed	bed bed3+	bed3+	4010250	DNase-seq	HCT116	colon,intestine,epithelium,large intestine				/files/ENCFF598UOC/@@download/ENCFF598UOC.bed.gz	/files/ENCFF945LSK/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:02:16.715389+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF472YXM/	ENCFF472YXM	ENCFF472YXM	/annotations/ENCSR915TUW/	GRCh38			bed	bed bed3+	bed3+	3728831	DNase-seq	heart right ventricle	heart				/files/ENCFF472YXM/@@download/ENCFF472YXM.bed.gz	/files/ENCFF702HNG/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:41:53.927910+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF045HVM/	ENCFF045HVM	ENCFF045HVM	/annotations/ENCSR498WAF/	GRCh38			bed	bed bed3+	bed3+	3596310	DNase-seq	B cell	blood,bodily fluid				/files/ENCFF045HVM/@@download/ENCFF045HVM.bed.gz	/files/ENCFF545NGF/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:26:40.935056+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF400DPO/	ENCFF400DPO	ENCFF400DPO	/annotations/ENCSR128BSF/	GRCh38			bed	bed bed3+	bed3+	3320870	DNase-seq	heart right ventricle	heart				/files/ENCFF400DPO/@@download/ENCFF400DPO.bed.gz	/files/ENCFF506ZVV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:42:22.453366+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF476LBN/	ENCFF476LBN	ENCFF476LBN	/annotations/ENCSR907ZHH/	GRCh38			bed	bed bed3+	bed3+	3657152	DNase-seq	heart right ventricle	heart				/files/ENCFF476LBN/@@download/ENCFF476LBN.bed.gz	/files/ENCFF529XZL/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:42:26.918016+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF980WQM/	ENCFF980WQM	ENCFF980WQM	/annotations/ENCSR104QVO/	GRCh38			bed	bed bed3+	bed3+	4264382	DNase-seq	HCT116	colon,intestine,epithelium,large intestine				/files/ENCFF980WQM/@@download/ENCFF980WQM.bed.gz	/files/ENCFF053MAN/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:02:21.775330+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF905CLB/	ENCFF905CLB	ENCFF905CLB	/annotations/ENCSR122ZFA/	GRCh38			bed	bed bed3+	bed3+	3254003	DNase-seq	left cardiac atrium	heart				/files/ENCFF905CLB/@@download/ENCFF905CLB.bed.gz	/files/ENCFF693RYH/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:41:44.435015+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF308MSM/	ENCFF308MSM	ENCFF308MSM	/annotations/ENCSR195EYQ/	GRCh38			bed	bed bed3+	bed3+	3650875	DNase-seq	B cell	blood,bodily fluid				/files/ENCFF308MSM/@@download/ENCFF308MSM.bed.gz	/files/ENCFF622UVF/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:26:50.302773+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF748FVF/	ENCFF748FVF	ENCFF748FVF	/annotations/ENCSR221BCA/	GRCh38			bed	bed bed3+	bed3+	3906234	DNase-seq	HCT116	colon,intestine,epithelium,large intestine				/files/ENCFF748FVF/@@download/ENCFF748FVF.bed.gz	/files/ENCFF579PJE/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:01:57.648650+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF429UBW/	ENCFF429UBW	ENCFF429UBW	/annotations/ENCSR031GVW/	GRCh38			bed	bed bed3+	bed3+	3196874	DNase-seq	adipocyte	connective tissue				/files/ENCFF429UBW/@@download/ENCFF429UBW.bed.gz	/files/ENCFF717LGV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:25:49.685678+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF872QTP/	ENCFF872QTP	ENCFF872QTP	/annotations/ENCSR708GWO/	GRCh38			bed	bed bed3+	bed3+	3787981	DNase-seq	right cardiac atrium	heart				/files/ENCFF872QTP/@@download/ENCFF872QTP.bed.gz	/files/ENCFF289UTB/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:41:34.916795+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF918KQY/	ENCFF918KQY	ENCFF918KQY	/annotations/ENCSR387TLR/	GRCh38			bed	bed bed3+	bed3+	3747374	DNase-seq	T-cell	blood,bodily fluid				/files/ENCFF918KQY/@@download/ENCFF918KQY.bed.gz	/files/ENCFF875RWY/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:22:45.720045+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF300UDR/	ENCFF300UDR	ENCFF300UDR	/annotations/ENCSR351VRT/	GRCh38			bed	bed bed3+	bed3+	3399995	DNase-seq	placenta	extraembryonic component,placenta				/files/ENCFF300UDR/@@download/ENCFF300UDR.bed.gz	/files/ENCFF410IZH/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:38:27.783399+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF055RNL/	ENCFF055RNL	ENCFF055RNL	/annotations/ENCSR930TFY/	GRCh38			bed	bed bed3+	bed3+	3506106	DNase-seq	T-cell	blood,bodily fluid				/files/ENCFF055RNL/@@download/ENCFF055RNL.bed.gz	/files/ENCFF975IXU/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:22:50.439791+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF921HXW/	ENCFF921HXW	ENCFF921HXW	/annotations/ENCSR576PEC/	GRCh38			bed	bed bed3+	bed3+	3501357	DNase-seq	placenta	extraembryonic component,placenta				/files/ENCFF921HXW/@@download/ENCFF921HXW.bed.gz	/files/ENCFF692GKJ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:38:32.269305+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF868ZYW/	ENCFF868ZYW	ENCFF868ZYW	/annotations/ENCSR317DOY/	GRCh38			bed	bed bed3+	bed3+	3607631	DNase-seq	placenta	extraembryonic component,placenta				/files/ENCFF868ZYW/@@download/ENCFF868ZYW.bed.gz	/files/ENCFF910BGZ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:38:36.931053+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF293UNU/	ENCFF293UNU	ENCFF293UNU	/annotations/ENCSR581UQX/	GRCh38			bed	bed bed3+	bed3+	3595554	DNase-seq	dorsolateral prefrontal cortex	brain				/files/ENCFF293UNU/@@download/ENCFF293UNU.bed.gz	/files/ENCFF373SUS/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T20:12:48.210444+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF182YPS/	ENCFF182YPS	ENCFF182YPS	/annotations/ENCSR572XTM/	GRCh38			bed	bed bed3+	bed3+	3052074	DNase-seq	muscle of leg	musculature of body,limb				/files/ENCFF182YPS/@@download/ENCFF182YPS.bed.gz	/files/ENCFF255RPE/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:34:06.861772+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF715KJO/	ENCFF715KJO	ENCFF715KJO	/annotations/ENCSR744BHQ/	GRCh38			bed	bed bed3+	bed3+	3132422	DNase-seq	muscle of leg	musculature of body,limb				/files/ENCFF715KJO/@@download/ENCFF715KJO.bed.gz	/files/ENCFF854NFO/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:34:12.512068+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF801JXJ/	ENCFF801JXJ	ENCFF801JXJ	/annotations/ENCSR103IHZ/	GRCh38			bed	bed bed3+	bed3+	3267160	DNase-seq	IMR-90	lung,connective tissue				/files/ENCFF801JXJ/@@download/ENCFF801JXJ.bed.gz	/files/ENCFF347CLS/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:56:51.693745+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF302FKT/	ENCFF302FKT	ENCFF302FKT	/annotations/ENCSR735LWL/	GRCh38			bed	bed bed3+	bed3+	3089581	DNase-seq	muscle of leg	musculature of body,limb				/files/ENCFF302FKT/@@download/ENCFF302FKT.bed.gz	/files/ENCFF085ITQ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:34:18.079011+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF447JZC/	ENCFF447JZC	ENCFF447JZC	/annotations/ENCSR600SNZ/	GRCh38			bed	bed bed3+	bed3+	3186146	DNase-seq	MCF 10A	exocrine gland,epithelium,mammary gland				/files/ENCFF447JZC/@@download/ENCFF447JZC.bed.gz	/files/ENCFF585GXA/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:56:56.572607+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF808DHV/	ENCFF808DHV	ENCFF808DHV	/annotations/ENCSR864DIM/	GRCh38			bed	bed bed3+	bed3+	3676645	DNase-seq	pancreas	pancreas				/files/ENCFF808DHV/@@download/ENCFF808DHV.bed.gz	/files/ENCFF206FOI/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:33:21.124721+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF585TZV/	ENCFF585TZV	ENCFF585TZV	/annotations/ENCSR459JWH/	GRCh38			bed	bed bed3+	bed3+	3499603	DNase-seq	placenta	extraembryonic component,placenta				/files/ENCFF585TZV/@@download/ENCFF585TZV.bed.gz	/files/ENCFF854GQR/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:37:55.378852+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF810ZGT/	ENCFF810ZGT	ENCFF810ZGT	/annotations/ENCSR959HJJ/	GRCh38			bed	bed bed3+	bed3+	3782168	DNase-seq	NAMALWA	blood,bodily fluid				/files/ENCFF810ZGT/@@download/ENCFF810ZGT.bed.gz	/files/ENCFF320LAJ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:59:52.357030+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF618RRN/	ENCFF618RRN	ENCFF618RRN	/annotations/ENCSR859MAT/	GRCh38			bed	bed bed3+	bed3+	3710237	DNase-seq	T-cell	blood,bodily fluid				/files/ENCFF618RRN/@@download/ENCFF618RRN.bed.gz	/files/ENCFF659EIB/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:22:13.243619+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF063IIZ/	ENCFF063IIZ	ENCFF063IIZ	/annotations/ENCSR613EZS/	GRCh38			bed	bed bed3+	bed3+	3721657	DNase-seq	placenta	extraembryonic component,placenta				/files/ENCFF063IIZ/@@download/ENCFF063IIZ.bed.gz	/files/ENCFF146ZGE/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:38:04.690866+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF474IPE/	ENCFF474IPE	ENCFF474IPE	/annotations/ENCSR785DHY/	GRCh38			bed	bed bed3+	bed3+	3849174	DNase-seq	dorsolateral prefrontal cortex	brain				/files/ENCFF474IPE/@@download/ENCFF474IPE.bed.gz	/files/ENCFF372DKO/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T20:11:22.837539+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF343QQS/	ENCFF343QQS	ENCFF343QQS	/annotations/ENCSR364ZUN/	GRCh38			bed	bed bed3+	bed3+	3572341	DNase-seq	tibial nerve	nerve,limb				/files/ENCFF343QQS/@@download/ENCFF343QQS.bed.gz	/files/ENCFF189FAV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:33:52.999622+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
